pair,locus,K,theta1,theta2,r_e,cf_slope,cf_intercept,p_gate_joint
P2a,1919,292,0.169790885865647,0.400295670257148,0.10897,0.8977802099717006,0.01913016036377108,0.6091005557281061
P2a,1954,209,0.383121691556694,0.394563118666212,0.10897,0.9849561977590416,0.004546772139616648,0.9248974745443987
P2a,1970,295,0.168865652603478,0.391297081574123,0.10897,0.8974111128582406,0.01938227602929477,0.6083374377734994
P2a,1984,220,0.168819889008159,0.39437150761623,0.10897,0.861664548807719,0.027608570049681588,0.4982849341090465
P2a,2019,472,0.170605000536023,0.398321046829638,0.10897,0.9477055404688073,0.00919554099902496,0.7893312720709725
P2a,2042,368,0.182342739184178,0.398585226185353,0.10897,0.9370398302090975,0.011770250392525269,0.744658065781071
P2a,2090,276,0.282808261803109,0.402960787312987,0.10897,0.9782838243025694,0.005402710805527623,0.8995825398710403
P2a,2098,509,0.170389363464537,0.400960135599662,0.10897,0.9539952009441122,0.00799931605927676,0.8140907719616638
P2a,2108,441,0.169654033877491,0.399468534038022,0.10897,0.9405065866827893,0.010492501703003667,0.7618103923194309
P2a,2196,277,0.200991238053166,0.401288193765913,0.10897,0.9276991431376905,0.014777748157735355,0.7028606781096615
P2a,2199,418,0.262802926823826,0.400049658681335,0.10897,0.9910581078452502,0.0020326210319327946,0.9602489344633713
